media_resource_id,drill_id,canonical_drill_name,skill_category,drills_on_this_video,is_compilation,drill_schedulable,source_video_id,source_url,title,channel_or_source,duration_seconds,chapter_data_available,transcript_available,description_timestamps_available,current_start_seconds,proposed_start_seconds,proposed_end_seconds,evidence_type,evidence_note,confidence,verification_status,needs_manual_review
4d4a7dd8-64de-4197-a937-0a6ddfb113d8,ce798b52-883f-4cf3-a6b8-311ef084a1be,Funnel Drill — Correct Arm Path Out of the Glove,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
00de5abe-d37c-4288-ba6d-9b8d2ea5faad,b1c3653c-82a0-446e-a9cb-0dd5ebf09864,Glove-Side Pull Drill — Front Side Control,Pitching,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
56a8b710-cd78-4a6b-a10d-af651cc5e08a,e4309ffb-fa02-4c6d-ac87-a6580e8c5bff,High Five Drill — Elbow Up Arm Path Correction,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
1f6a9ffe-b88b-4934-ace6-55d55f940cfb,e5d28c39-30b0-48fd-9534-8a43cd8154db,Hip Lead Drill,Pitching,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
200bfdc2-9361-45a8-b101-77f0dc86b59e,3f2af696-fe22-4fb6-936f-fefe7d86681a,Long Toss,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
a8a1ead4-c7e1-49fb-901f-1edfc439660c,2b5adf22-f8b1-4cfe-87e9-fe7ec1a1957e,Long Toss Progression — Building Arm Strength Safely,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
a91fb931-5722-464e-bef3-15cb45a5a36c,e40632d7-5ffb-42e9-9652-bd9a49e68ff5,Quick Hands Drill,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
6d44dc48-abe6-4989-8d75-44ee63c97816,84930859-7689-4f1f-a9ba-5e71b4991af9,Quick Hands Quick Feet — Fast Transfer Drill,Throwing,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
49ad7532-5cf3-44a0-b139-873fd2aca6b4,ffc26e2a-7801-42b7-b610-9a996527e638,Square Hips / Hip Lock Drill — Hip-Shoulder Separation,Pitching,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
ed657c2c-16d0-4a60-87a5-ce42fff7a243,b22aa9c8-7cd1-4dc0-bba3-c66b03396e21,The Heel-Toe Drill — Front Foot Landing,Pitching,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
fc260da7-a269-464e-bfaf-d66ac58c5eaf,03eab7d0-7e67-4143-91e5-b8e4e783014a,The Rocker Drill — Hip Lead & Weight Shift,Pitching,19,yes,yes,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,,Dan Blewett,,no,no,no,,,,none,youtube.com unreachable — connect_rejected: gateway answered 403 to CONNECT (policy denial or upstream failure),none,unverified,yes
